State,Year,Type,Gender,Age_group,Total,Total Population,totalPerCapita,LitRate,Annual Rainfall,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly,Total Area,Total Production,Total Yield,Most Cultivated Crop,MC Area,MC Production,MC Yield,Net State Domestic Product,Per Capita Income,Decadal Growth ,Rural Population ,Value Added by Agriculture
Andhra Pradesh,2004,By Consuming Insecticides,Female,30-44,470,78721.30000000002,0.0059704298582467,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Male,30-44,1267,78721.30000000002,0.016094754532763,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Female,45-59,298,78721.30000000002,0.0037855065909734,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Male,45-59,822,78721.30000000002,0.010441900730806,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Female,60+,117,78721.30000000002,0.0014862559434358,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2004,By Consuming Insecticides,Male,60+,297,78721.30000000002,0.0037728035487218,62.627,2282.3,0.1979999999999999,0.2813333333333333,0.2470416666666667,11765700.0,1236664058.0,192667.87,Rice,3086202.0,9601045.0,122.11,147949.67,18819.0,13.543,55689.3,36715.02
Andhra Pradesh,2005,By Consuming Insecticides,Female,0-14,47,79558.40000000002,0.0005907610007239,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Male,0-14,39,79558.40000000002,0.0004902059367709,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Female,15-29,701,79558.40000000002,0.0088111374788834,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Male,15-29,1050,79558.40000000002,0.0131978521438339,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Female,30-44,567,79558.40000000002,0.0071268401576703,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Male,30-44,1356,79558.40000000002,0.017044083340037,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Female,45-59,247,79558.40000000002,0.0031046375995495,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Male,45-59,934,79558.40000000002,0.0117398037165151,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Female,60+,150,79558.40000000002,0.0018854074491191,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2005,By Consuming Insecticides,Male,60+,334,79558.40000000002,0.0041981739200386,63.346,3451.1,0.2517083333333333,0.2397083333333333,0.2758333333333333,12163532.0,934323514.0,143363.3,Rice,3981751.0,11703624.0,124.99,121387.79,25959.0,13.194,55785.399999999994,30400.86
Andhra Pradesh,2006,By Consuming Insecticides,Female,0-14,51,80395.50000000003,0.000634363863649,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Male,0-14,36,80395.50000000003,0.0004477862566934,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Female,15-29,783,80395.50000000003,0.009739351083083,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Male,15-29,1077,80395.50000000003,0.013396272179413,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Female,30-44,531,80395.50000000003,0.0066048472862287,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Male,30-44,1442,80395.50000000003,0.0179363272819996,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
Andhra Pradesh,2006,By Consuming Insecticides,Female,45-59,212,80395.50000000003,0.0026369635116393,64.065,2850.7,0.2200416666666666,0.21025,0.2759166666666667,11596887.0,1371878666.0,215223.87,Rice,3977890.0,11872130.0,125.97,128149.75,27179.0,12.845,55881.49999999999,29302.56
